Wavelength,ϵ1,ϵ2
368.0,2.186208207768876,0.0
369.0,2.1857827306175723,0.0
370.0,2.185360739522378,0.0
371.0,2.1849421964001636,0.0
372.0,2.1845270636877774,0.0
373.0,2.1841153043335266,0.0
374.0,2.1837068817888263,0.0
375.0,2.18330176,0.0
376.0,2.1828999034002425,0.0
377.0,2.1825012769017325,0.0
378.0,2.182105845887894,0.0
379.0,2.1817135762058006,0.0
380.0,2.181324434158731,0.0
381.0,2.1809383864988554,0.0
382.0,2.1805554004200616,0.0
383.0,2.180175443550916,0.0
384.0,2.1797984839477538,0.0
385.0,2.179424490087899,0.0
386.0,2.1790534308630063,0.0
387.0,2.17868527557253,0.0
388.0,2.1783199939173117,0.0
389.0,2.1779575559932822,0.0
390.0,2.1775979322852836,0.0
391.0,2.1772410936610016,0.0
